SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
050,51,660,00000,00000,00000,0,F,Harrisonburg city,Virginia,48914,48900,48991,49932,51315,51550,52558,52755,53701,53907,54033
157,51,660,35624,00000,00000,1,A,Harrisonburg city,Virginia,48914,48900,48991,49932,51315,51550,52558,52755,53701,53907,54033
050,51,670,00000,00000,00000,0,F,Hopewell city,Virginia,22591,22591,22642,22498,22308,22161,22109,22228,22553,22554,22596
157,51,670,38424,00000,00000,1,A,Hopewell city,Virginia,22591,22591,22642,22498,22308,22161,22109,22228,22553,22554,22596
050,51,678,00000,00000,00000,0,F,Lexington city,Virginia,7042,7034,7040,6963,7011,7143,7121,7123,7089,7082,7136
157,51,678,45512,00000,00000,1,A,Lexington city,Virginia,7042,7034,7040,6963,7011,7143,7121,7123,7089,7082,7136
050,51,680,00000,00000,00000,0,F,Lynchburg city,Virginia,75568,75533,75551,76582,77276,77950,78155,79271,80038,81065,82126
157,51,680,47672,00000,00000,1,A,Lynchburg city,Virginia,75568,75533,75551,76582,77276,77950,78155,79271,80038,81065,82126
050,51,683,00000,00000,00000,0,F,Manassas city,Virginia,37821,37819,38232,39120,40307,41110,41180,41530,41435,41501,41641
157,51,683,48952,00000,00000,1,A,Manassas city,Virginia,37821,37819,38232,39120,40307,41110,41180,41530,41435,41501,41641
050,51,685,00000,00000,00000,0,F,Manassas Park city,Virginia,14273,14241,14447,15067,15401,15901,15924,16054,16143,16686,17307
157,51,685,48968,00000,00000,1,A,Manassas Park city,Virginia,14273,14241,14447,15067,15401,15901,15924,16054,16143,16686,17307
050,51,690,00000,00000,00000,0,F,Martinsville city,Virginia,13821,13814,13760,13595,13490,13416,13317,13277,13038,12969,12902
157,51,690,49784,00000,00000,1,A,Martinsville city,Virginia,13821,13814,13760,13595,13490,13416,13317,13277,13038,12969,12902
050,51,700,00000,00000,00000,0,F,Newport News city,Virginia,180719,180994,180925,180098,180094,181320,181576,180948,180179,179398,178626
157,51,700,56000,00000,00000,1,A,Newport News city,Virginia,180719,180994,180925,180098,180094,181320,181576,180948,180179,179398,178626
050,51,710,00000,00000,00000,0,F,Norfolk city,Virginia,242803,242827,242998,243632,246141,245449,246587,246534,245843,244922,244076
157,51,710,57000,00000,00000,1,A,Norfolk city,Virginia,242803,242827,242998,243632,246141,245449,246587,246534,245843,244922,244076
050,51,720,00000,00000,00000,0,F,Norton city,Virginia,3958,3993,4013,4087,4124,4100,4136,4005,3947,3892,3968
157,51,720,57688,00000,00000,1,A,Norton city,Virginia,3958,3993,4013,4087,4124,4100,4136,4005,3947,3892,3968
050,51,730,00000,00000,00000,0,F,Petersburg city,Virginia,32420,32435,32496,32083,31990,32307,32236,32000,31698,31635,31567
157,51,730,61832,00000,00000,1,A,Petersburg city,Virginia,32420,32435,32496,32083,31990,32307,32236,32000,31698,31635,31567
050,51,735,00000,00000,00000,0,F,Poquoson city,Virginia,12150,12157,12145,12038,12110,12090,12003,12014,11943,12043,12190
157,51,735,63768,00000,00000,1,A,Poquoson city,Virginia,12150,12157,12145,12038,12110,12090,12003,12014,11943,12043,12190
050,51,740,00000,00000,00000,0,F,Portsmouth city,Virginia,95535,95527,95445,95726,96467,96071,95826,96308,95094,94693,94632
157,51,740,64000,00000,00000,1,A,Portsmouth city,Virginia,95535,95527,95445,95726,96467,96071,95826,96308,95094,94693,94632
050,51,750,00000,00000,00000,0,F,Radford city,Virginia,16408,16395,16430,16809,16709,17116,17390,17341,17420,17659,18339
157,51,750,65392,00000,00000,1,A,Radford city,Virginia,16408,16395,16430,16809,16709,17116,17390,17341,17420,17659,18339
050,51,760,00000,00000,00000,0,F,Richmond city,Virginia,204214,204327,204256,206325,210741,213815,217003,220847,225332,226968,228783
157,51,760,67000,00000,00000,1,A,Richmond city,Virginia,204214,204327,204256,206325,210741,213815,217003,220847,225332,226968,228783
050,51,770,00000,00000,00000,0,F,Roanoke city,Virginia,97032,96912,96722,96776,98092,98860,99443,99733,99572,99436,99920
157,51,770,68000,00000,00000,1,A,Roanoke city,Virginia,97032,96912,96722,96776,98092,98860,99443,99733,99572,99436,99920
050,51,775,00000,00000,00000,0,F,Salem city,Virginia,24802,24835,24894,25021,25175,25314,25427,25426,25438,25662,25643
157,51,775,70000,00000,00000,1,A,Salem city,Virginia,24802,24835,24894,25021,25175,25314,25427,25426,25438,25662,25643
050,51,790,00000,00000,00000,0,F,Staunton city,Virginia,23746,23745,23736,24020,23807,24101,24287,24219,24266,24566,24922
157,51,790,75216,00000,00000,1,A,Staunton city,Virginia,23746,23745,23736,24020,23807,24101,24287,24219,24266,24566,24922
050,51,800,00000,00000,00000,0,F,Suffolk city,Virginia,84585,84572,84823,84751,85258,85765,86892,88127,89322,90275,91185
157,51,800,76432,00000,00000,1,A,Suffolk city,Virginia,84585,84572,84823,84751,85258,85765,86892,88127,89322,90275,91185
050,51,810,00000,00000,00000,0,F,Virginia Beach city,Virginia,437994,437903,438855,442536,445038,447732,448913,450474,451136,449962,450189
157,51,810,82000,00000,00000,1,A,Virginia Beach city,Virginia,437994,437903,438855,442536,445038,447732,448913,450474,451136,449962,450189
050,51,820,00000,00000,00000,0,F,Waynesboro city,Virginia,21006,20998,20994,21102,21069,21173,21312,21558,21798,22336,22628
157,51,820,83680,00000,00000,1,A,Waynesboro city,Virginia,21006,20998,20994,21102,21069,21173,21312,21558,21798,22336,22628
050,51,830,00000,00000,00000,0,F,Williamsburg city,Virginia,14068,13689,13716,14096,14513,14604,14566,14767,14824,14889,14896
157,51,830,86160,00000,00000,1,A,Williamsburg city,Virginia,14068,13689,13716,14096,14513,14604,14566,14767,14824,14889,14896
050,51,840,00000,00000,00000,0,F,Winchester city,Virginia,26203,26223,26150,26662,27012,27333,27394,27470,27762,28210,28108
157,51,840,86720,00000,00000,1,A,Winchester city,Virginia,26203,26223,26150,26662,27012,27333,27394,27470,27762,28210,28108
