team,lat,lng,active
4394,37.3330224,-76.7571116,False
4288,38.3415552,-75.1903009,False
4538,37.052569,-76.475836,False
4714,37.531693,-77.5409084,False
4945,38.1770634,-75.3926959,False
4969,36.7796829,-76.1006446,False
5106,38.6853689,-76.652936,False
5323,36.6906986,-76.2393361,False
5425,37.665978,-77.5063739,False
5520,37.5059332,-77.3324425,False
5569,38.8482336,-76.9976677,False
5862,37.3426444,-78.9750189,False
5936,39.1679725,-76.7346859,False
5979,39.2056293,-76.8122694,False
6236,37.7772071,-77.5160788,False
6307,38.2320749,-77.5516533,False
6313,37.6126199,-76.5491427,False
6486,38.8159473,-76.7496909,False
6505,38.9162416,-76.9736214,False
