SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,11,000,00000,00000,00000,0,A,District of Columbia,District of Columbia,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
162,11,000,50000,00000,00000,0,N,Washington city,District of Columbia,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
050,11,001,00000,00000,00000,0,F,District of Columbia,District of Columbia,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
157,11,001,50000,00000,00000,1,N,Washington city,District of Columbia,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
